Time;Ax;Ay;Az;Gx;Gy;Gz;BAR;P;R;UP;DOWN;prob
1670690681906;10.29379;0.63468;4.57209;-1.82;-11.83;3.64;1;0;0;0;0;0.63016
1670690682072;9.97047;0.07425;2.48364;-20.15999;-17.63999;-10.22;0.99999;0;0;0;0;0.58803
1670690682274;8.69871;-3.04167;4.09788;-17.14999;2.45;-2.87;0.99998;0;0;0;0;0.27173
1670690682476;8.81607;-1.99505;3.23567;14.63;-13.37;-5.67;0.99998;0;0;0;0;0.09118
1670690682678;9.71899;-0.86221;2.96743;-6.02;-2.31;4.06;0.99999;0;0;0;0;0.64206
1670690682877;10.5812;-1.37714;2.54351;-1.05;-5.25;5.39;0.99998;0;0;0;0;0.1542
1670690683080;9.87467;-1.05141;2.76864;-5.81;-0.91;-2.45;0.99998;0;0;0;0;0.13794
1670690683281;9.88904;-1.0562;2.77343;-2.17;-1.61;1.96;1.0;0;0;0;0;0.12352
1670690683545;9.58247;-1.21906;2.36867;-1.75;-1.19;-1.26;1.00002;0;0;1;0;0.14749
1670690683752;10.01358;-1.34361;2.72793;-6.02;1.05;-1.47;1.00002;0;0;1;0;0.13265
1670690683951;9.7118;-1.1999;2.86923;-6.02;-0.98;-5.81;1.00004;0;0;1;0;0.09112
1670690684154;9.46512;-0.85023;2.02619;0.07;9.1;-2.38;1.00003;0;0;1;0;0.13388
1670690684353;6.69887;-0.90771;2.58183;0.35;31.35999;-5.04;1.00003;0;0;1;0;0.06077
1670690684556;8.00655;-0.54846;3.73863;0.07;15.74999;0;1.00005;0;0;1;0;0.02909
1670690684757;9.66869;-1.0586;6.26777;4.55;12.18;-0.7;1.00006;0;0;1;0;0.12535
1670690684956;9.6639;-0.5269;4.91219;-0.35;9.73;-3.15;1.0001;0;0;1;0;0.29981
1670690685163;9.56092;-0.42152;6.62702;-10.64;10.08;2.1;1.00012;0;0;1;0;0.20124
1670690685359;8.78733;-1.0083;6.21268;1.33;2.52;4.27;1.00011;0;0;1;0;0.25393
1670690685558;8.71069;-0.86221;5.55405;-1.89;0.91;2.38;1.00013;0;0;0;1;0.52645
1670690685762;8.62207;-0.87179;5.52292;-3.01;-0.7;0;1.00016;0;0;0;1;0.46159
1670690685962;10.01118;-1.35319;6.69887;-5.18;-7.7;-0.07;1.00016;0;0;0;1;0.49221
1670690686163;9.76689;-0.91729;6.60067;7.28;-13.16;-3.22;1.00016;0;0;0;1;0.61475
1670690686365;9.4244;-0.8167;5.50376;0.56;-21.76999;-1.75;1.00015;0;0;0;1;0.85483
1670690686566;8.10714;-0.95561;3.85838;-1.12;-19.87999;0.21;1.00015;0;0;0;1;0.85849
1670690686768;8.13828;-0.59157;3.24046;0;-15.39999;-2.38;1.00016;0;0;0;1;0.75725
1670690686968;7.27607;-0.65384;1.84896;4.9;-9.52;-3.15;1.00016;0;0;0;1;0.64418
1670690687169;9.17772;-0.7233;2.59381;-2.24;14.49;-5.74;1.00014;0;0;0;1;0.4788
1670690687368;9.99442;-0.58917;2.7399;0.91;3.36;-3.22;1.00012;0;0;1;0;0.052
1670690687573;9.77168;-0.55804;2.71595;-1.19;-1.68;-2.94;1.00011;0;0;1;0;0.12653
1670690687774;9.89143;-0.45266;2.38544;-2.52;1.82;-0.21;1.00012;0;0;1;0;0.18057
1670690687974;10.03034;-0.74485;2.4046;-2.31;-2.59;2.52;1.00014;0;0;1;0;0.10936
1670690688178;8.8472;-0.66103;2.27048;-2.45;14.49;-2.45;1.00014;0;0;1;0;0.13868
1670690688380;8.22689;-0.24669;2.54591;7.77;19.17999;-1.12;1.00012;0;0;1;0;0.04869
1670690688578;9.76929;-0.40955;3.54463;-2.31;10.5;-2.59;1.00014;0;0;1;0;0.08069
1670690688782;9.4723;-0.6275;3.95657;-3.43;9.66;2.59;1.00014;0;0;1;0;0.09716
1670690688981;9.35495;-0.74246;4.40444;-0.77;13.58;4.34;1.00014;0;0;1;0;0.1182
1670690689184;9.38129;-0.673;4.41881;5.74;3.92;-3.92;1.00013;0;0;1;0;0.11766
1670690689385;9.25915;-0.67779;4.44755;-3.01;14.63;-1.75;1.00011;0;0;1;0;0.32766
1670690689588;9.24717;-0.76162;5.94204;-9.17;9.45;8.33;1.00017;0;0;1;0;0.10927
1670690689789;9.26633;-1.30289;6.38273;-2.1;1.96;2.45;1.00012;0;0;1;0;0.21105
1670690690000;8.85439;-1.18793;5.23551;4.2;-2.94;-0.49;1.00014;0;0;0;1;0.46028
1670690690202;9.18251;-1.0083;5.02715;-0.84;-2.94;0.42;1.00016;0;0;0;1;0.55974
1670690690411;11.02667;-1.06099;6.60067;-5.46;-15.60999;-4.55;1.00015;0;0;0;1;0.45199
1670690690609;9.97047;-0.79515;5.35287;4.76;-15.74999;-0.35;1.00016;0;0;0;1;0.70861
1670690690809;9.83874;-0.86939;3.82964;4.2;-21.48999;-4.27;1.00018;0;0;0;1;0.76913
1670690691011;8.14786;-0.64187;2.74469;3.92;-11.76;-3.01;1.00015;0;0;0;1;0.73277
1670690691212;8.89271;-0.75683;1.09692;0.77;-23.72999;3.43;1.00016;0;0;0;1;0.55228
1670690691413;8.30114;-0.59636;1.52084;-2.59;-10.01;-2.66;1.00014;0;0;0;1;0.49538
1670690691614;9.98005;-0.20837;1.66693;-0.91;3.71;-2.1;1.00011;0;0;0;1;0.28418
1670690691819;9.80761;-0.39757;1.76034;-1.61;-0.7;3.01;1.00008;0;0;1;0;0.07667
1670690692019;10.03992;-0.44547;1.80584;0.7;-4.06;4.2;1.0001;0;0;1;0;0.10762
1670690692226;10.08303;-0.48379;1.84896;-3.57;2.24;0.42;1.00011;0;0;1;0;0.14503
1670690692422;10.09261;-0.60833;2.14115;-4.55;-0.49;-1.75;1.00008;0;0;1;0;0.0737
1670690692622;9.92975;-0.44787;1.61903;-2.45;9.73;-6.72;1.00007;0;0;1;0;0.09913
1670690692824;10.95003;-0.12454;1.4921;4.55;-4.83;-0.7;1.00009;0;0;1;0;0.04154
1670690693025;7.49402;-0.3377;1.47054;-2.24;0.84;-0.77;1.00006;0;0;1;0;0.13622
1670690693227;9.19688;-0.28261;2.73511;1.75;3.78;5.39;1.00009;0;0;1;0;0.17003
1670690693428;10.31295;-0.41194;2.62015;-3.22;11.69;3.92;1.00006;0;0;1;0;0.16061
1670690693628;9.96807;-0.70893;3.38416;0.56;12.80999;5.25;1.00009;0;0;1;0;0.04385
1670690693829;9.91538;-0.56522;4.07393;1.12;10.22;-1.61;1.00011;0;0;1;0;0.06995
1670690694042;9.63277;-0.78557;3.76018;-7.07;4.9;-0.84;1.00012;0;0;1;0;0.13363
1670690694236;10.11656;-0.673;5.66183;-4.48;0.14;8.61;1.00011;0;0;1;0;0.12723
1670690694447;10.36804;-1.02986;4.85949;4.9;1.05;-1.12;1.00011;0;0;0;1;0.34243
1670690694652;8.9909;-0.66342;4.53856;3.22;1.89;-1.33;1.00014;0;0;0;1;0.32251
1670690694853;10.93806;-0.94843;5.24988;-6.51;-6.37;2.87;1.00016;0;0;0;1;0.37954
1670690695054;10.45905;-0.92687;4.93135;7.49;-12.53;-4.97;1.00016;0;0;0;1;0.3384
1670690695257;10.06866;-0.3856;3.70031;4.06;-11.62;-1.96;1.00014;0;0;0;1;0.66463
1670690695461;9.18729;-0.31135;3.47038;-0.42;-16.65999;0.21;1.00014;0;0;0;1;0.51775
1670690695659;8.44244;-0.36404;2.45011;-1.19;-12.18;-2.45;1.00011;0;0;0;1;0.61977
1670690695861;8.11672;-0.16047;1.94715;-0.35;-9.31;-6.09;1.00009;0;0;0;1;0.45252
1670690696061;10.04711;-0.12694;1.35798;5.53;-7.14;2.24;1.00007;0;0;0;1;0.38778
1670690696268;9.72857;-0.30177;1.97589;-4.62;-2.73;1.19;1.00006;0;0;1;0;0.20243
1670690696472;10.05669;-0.4311;1.8298;-1.68;0.84;1.82;1.00008;0;0;1;0;0.12891
1670690696674;9.96328;-0.4335;1.66214;-2.52;1.26;0.07;1.00006;0;0;1;0;0.09049
1670690696874;10.01358;-0.34009;1.87051;-2.45;0.42;1.12;1.00008;0;0;1;0;0.08141
1670690697076;10.14051;-0.46224;2.05732;0.63;-0.77;0.84;1.00007;0;0;1;0;0.09586
1670690697279;10.16925;-0.40955;1.78189;-1.26;10.85;-0.77;1.00008;0;0;1;0;0.12338
1670690697478;9.89143;-0.22274;1.22625;4.9;-3.22;3.15;1.00007;0;0;1;0;0.03822
1670690697681;8.40652;-0.3856;2.45969;-6.79;1.4;0.42;1.00007;0;0;1;0;0.14158
1670690697880;9.78126;-0.27064;1.43701;3.01;19.94999;3.5;1.00006;0;0;1;0;0.15201
1670690698080;10.13333;-0.43829;2.48364;-0.91;21.97999;7.0;1.00008;0;0;1;0;0.02044
1670690698282;10.14291;-0.63947;3.93981;-5.6;18.05999;2.87;1.00008;0;0;1;0;0.01916
1670690698485;9.48667;-0.66582;4.1362;1.96;6.02;-2.66;1.00008;0;0;1;0;0.04212
1670690698686;9.59445;-0.74006;4.11464;-3.64;8.47;2.73;1.0001;0;0;1;0;0.21663
1670690698893;10.54048;-0.21555;4.77088;-1.19;0.63;0.77;1.0001;0;0;1;0;0.12926
1670690699092;9.68067;-0.74725;4.45953;2.31;6.65;-0.21;1.00012;0;0;0;1;0.28452
1670690699294;8.50471;-0.73048;4.28709;1.19;5.88;1.26;1.00012;0;0;0;1;0.21825
1670690699496;11.30689;-0.87658;5.31215;-3.99;-17.56999;-2.45;1.00008;0;0;0;1;0.27825
1670690699701;10.6291;-0.66821;4.73735;2.52;-7.56;1.33;1.00011;0;0;0;1;0.60873
1670690699901;9.94412;-0.74725;3.95178;8.61;-14.27999;0.42;1.00014;0;0;0;1;0.45967
1670690700097;9.45554;-0.39997;3.07281;4.41;-16.65999;-1.75;1.00014;0;0;0;1;0.64427
1670690700305;8.65081;-0.19639;2.15791;-1.12;-18.61999;-3.85;1.00017;0;0;0;1;0.60875
1670690700509;7.42456;-0.10778;1.79147;0.49;-14.90999;-3.64;1.00014;0;0;0;1;0.55905
1670690700710;11.00751;-0.08383;1.1065;2.17;-4.76;2.1;1.00013;0;0;0;1;0.56112
1670690700915;10.26984;-0.2395;1.17116;1.4;-3.43;3.64;1.00012;0;0;1;0;0.09994
1670690701115;10.34888;-0.22274;2.1148;-0.56;-2.31;2.03;1.00012;0;0;1;0;0.1065
1670690701319;10.4854;-0.92448;1.32205;2.66;2.03;6.44;1.00011;0;0;1;0;0.13311
1670690701522;10.10938;-0.3832;1.4921;-0.7;-1.75;-4.76;1.00007;0;0;1;0;0.05951
1670690701724;10.03513;-0.30656;1.51126;-1.75;3.57;0.28;1.0001;0;0;1;0;0.10571
1670690701924;10.14291;-0.43829;1.47773;0.42;2.31;0.91;1.00007;0;0;1;0;0.06533
1670690702128;10.10938;-0.68258;1.73399;-5.25;5.74;-2.94;1.00008;0;0;1;0;0.07381
1670690702329;7.82213;-0.07664;1.82021;-3.22;10.01;0.42;1.00009;0;0;1;0;0.04651
1670690702532;9.53936;-0.39278;2.37825;-3.29;7.77;3.15;1.00009;0;0;1;0;0.08713
1670690702736;9.6639;-0.44308;2.67045;0.77;10.57;-1.19;1.00011;0;0;1;0;0.07094
1670690702936;9.8603;-0.60115;3.60211;-4.13;23.44999;3.08;1.00012;0;0;1;0;0.07638
1670690703139;10.12135;-0.57001;5.07505;-6.51;10.15;-0.07;1.00012;0;0;1;0;0.02666
1670690703342;10.31774;-1.16877;4.83554;-0.77;0;-0.77;1.00011;0;0;1;0;0.13632
1670690703560;10.30577;-0.66103;4.82117;-1.4;5.95;4.2;1.00012;0;0;1;0;0.27496
1670690703750;8.91905;-0.76641;4.51701;0.56;1.26;-0.35;1.00013;0;0;0;1;0.18911
1670690703949;11.1584;-0.74485;5.21396;-1.4;-5.81;1.12;1.00014;0;0;0;1;0.35632
1670690704150;10.74406;-0.83107;5.09181;0.84;-9.73;-1.61;1.00014;0;0;0;1;0.38094
1670690704352;9.71899;-0.78078;3.77934;3.92;-14.63;4.41;1.00012;0;0;0;1;0.51691
1670690704552;9.2831;-0.45745;3.53744;0.49;-14.13999;-1.4;1.00009;0;0;0;1;0.58297
1670690704756;8.60291;-0.26585;2.97461;6.44;-26.80999;-5.74;1.00011;0;0;0;1;0.57037
1670690704960;7.92991;-0.29698;1.36756;7.84;-21.48999;-3.43;1.00013;0;0;0;1;0.85559
1670690705161;9.62319;-0.22992;1.35079;2.66;-3.01;-0.77;1.00007;0;0;0;1;0.68633
1670690705379;10.16925;-0.28261;1.37235;1.54;-1.12;3.22;1.00008;0;0;1;0;0.1482
1670690705580;10.20757;-0.0958;1.54958;3.36;-0.91;-2.38;1.00007;0;0;1;0;0.09946
1670690705776;10.22194;-0.42152;0.89813;2.1;-2.38;3.22;1.00007;0;0;1;0;0.12381
1670690705983;10.23392;-0.23471;1.62861;-3.85;-0.35;-1.05;1.00008;0;0;1;0;0.08727
1670690706186;10.21236;-0.23711;1.58071;-1.19;0.07;1.61;1.00007;0;0;1;0;0.08371
1670690706386;9.99442;-0.30656;0.59636;4.13;1.12;3.15;1.00005;0;0;1;0;0.08817
1670690706587;7.33355;-0.27543;1.24302;-5.6;15.60999;3.99;1.00007;0;0;1;0;0.06913
1670690706788;9.60163;-0.66342;1.69328;-12.18;30.93999;0.14;1.00006;0;0;1;0;0.04007
1670690706990;9.92975;-0.59157;3.45601;-2.8;14.49;-0.28;1.00007;0;0;1;0;0.00398
1670690707193;10.05429;-0.76162;4.77567;-5.04;16.23999;3.57;1.0001;0;0;1;0;0.05831
1670690707392;9.45554;-0.29459;4.90979;5.67;9.73;-5.74;1.00011;0;0;1;0;0.07386
1670690707593;10.21715;-0.50056;5.95881;6.58;10.43;4.9;1.00011;0;0;1;0;0.28534
1670690707795;10.03274;-0.60354;5.1924;2.66;-0.49;0.84;1.00011;0;0;0;1;0.30334
1670690707995;9.15376;-0.62989;5.23791;-0.91;-2.94;1.75;1.00014;0;0;0;1;0.41449
1670690708196;10.63389;-1.01309;6.03305;-2.1;-6.86;-3.01;1.00012;0;0;0;1;0.50085
1670690708407;10.06866;-0.63229;5.19959;3.85;-15.04999;-2.8;1.00014;0;0;0;1;0.53067
1670690708601;9.11545;-0.48619;3.99968;5.6;-20.08999;-2.1;1.00013;0;0;0;1;0.74064
1670690708802;8.86876;-0.31614;3.18777;5.81;-20.43999;-2.52;1.00011;0;0;0;1;0.79656
1670690709004;7.77184;-0.16765;2.10283;7.28;-27.36999;-1.75;1.00012;0;0;1;0;0.75801
1670690709213;10.57641;-0.09101;0.82389;0.14;-6.86;2.24;1.0001;0;0;1;0;0.84811
1670690709414;10.10698;-0.19879;1.45617;1.19;-5.95;1.05;1.0001;0;0;1;0;0.10861
1670690709607;10.04711;-0.11496;1.44659;-0.42;-1.68;-1.19;1.0001;0;0;1;0;0.15708
1670690709811;10.01597;-0.09341;1.90644;-2.31;-3.92;0;1.00011;0;0;1;0;0.11
1670690710009;10.02076;0.01916;1.36995;-1.4;-8.4;0.77;1.00008;0;0;1;0;0.14765
1670690710213;10.68418;-0.05269;1.10171;-4.41;7.63;-0.07;1.0001;0;0;1;0;0.17599
1670690710410;7.91793;-0.3832;1.30529;-2.24;29.46999;1.4;1.0001;0;0;1;0;0.02881
1670690710611;7.24014;-0.18681;3.47757;-2.8;10.71;-1.12;1.00011;0;0;1;0;0.01172
1670690710812;10.0998;0.12933;3.28597;-3.08;15.88999;-2.52;1.00011;0;0;1;0;0.19883
1670690711014;9.77647;-0.08622;4.44276;-5.74;25.61999;1.26;1.00016;0;0;1;0;0.05432
1670690711213;9.92017;-0.70174;4.41402;-0.14;5.6;2.03;1.00016;0;0;1;0;0.03609
1670690711418;10.07824;-0.62271;5.13492;-4.76;7.77;2.8;1.00018;0;0;1;0;0.19492
1670690711619;10.03034;-0.22513;5.23791;-2.24;4.9;2.24;1.00021;0;0;1;0;0.17696
1670690711817;9.45314;-0.43589;4.48348;-0.14;1.96;-2.31;1.00021;0;0;0;1;0.27414
1670690712021;8.8017;-0.58678;4.43318;-1.12;6.51;2.17;1.0002;0;0;0;1;0.31293
1670690712220;11.8793;-0.7712;5.67141;-8.75;-8.05;0.63;1.00023;0;0;0;1;0.24438
1670690712424;10.06627;-0.71132;4.98404;1.75;-2.45;0.63;1.00028;0;0;0;1;0.33572
1670690712625;9.31184;-0.34728;4.32541;3.92;-11.97;2.1;1.00029;0;0;0;1;0.41237
1670690712826;9.92017;-0.4814;4.25835;10.01;-19.03999;-0.42;1.00032;0;0;0;1;0.65366
1670690713026;8.99569;-0.03353;2.51956;8.89;-9.8;-1.61;1.00031;0;0;0;1;0.79104
1670690713229;7.76465;-0.00719;1.99505;1.54;-21.62999;-2.45;1.00031;0;0;0;1;0.50745
1670690713431;9.74533;-0.24669;1.17835;-5.11;-6.09;6.02;1.00032;0;0;0;1;0.71216
1670690713632;9.35974;-0.76641;2.14115;-2.45;-9.38;0.07;1.00034;0;0;0;1;0.1133
1670690713838;10.04711;-0.4814;1.98308;-2.52;-2.8;0.98;1.00032;0;0;1;0;0.24945
1670690714039;9.98005;-0.30177;1.99505;1.89;-0.98;-4.83;1.00034;0;0;1;0;0.12477
1670690714249;9.68546;-0.08383;1.99266;-0.07;-1.61;-1.26;1.00032;0;0;1;0;0.14674
1670690714450;10.06627;-0.05988;1.27894;-3.99;2.8;2.73;1.00035;0;0;1;0;0.15727
1670690714652;11.32605;-0.31375;2.33514;-3.43;3.43;0.21;1.00033;0;0;1;0;0.058
1670690714860;6.94795;-0.37123;1.40109;5.74;11.76;-2.66;1.0003;0;0;1;0;0.05876
1670690715057;6.95514;-0.2419;2.83331;5.32;17.98999;-1.89;1.00031;0;0;1;0;0.11859
1670690715260;10.04471;-0.22034;3.2237;-6.79;7.42;1.54;1.00031;0;0;1;0;0.13416
1670690715457;10.10219;-0.4335;3.98292;-2.1;11.83;3.15;1.00029;0;0;1;0;0.08178
1670690715665;9.64714;-0.31614;3.76976;-2.1;9.24;-1.68;1.00026;0;0;1;0;0.09145
1670690715866;9.58966;-0.35925;4.49545;-4.69;10.92;-0.14;1.00028;0;0;1;0;0.12608
1670690716072;10.38241;-0.39757;5.21156;0;1.19;6.79;1.00032;0;0;1;0;0.1336
1670690716272;10.59317;-0.73288;4.74693;0.42;-3.29;-2.17;1.0003;0;0;1;0;0.32225
1670690716473;7.86524;-0.45505;4.2823;0.49;10.78;-2.24;1.00027;0;0;0;1;0.34903
1670690716674;9.03162;-0.68977;5.12534;-6.02;-8.33;0.7;1.00025;0;0;0;1;0.24749
1670690716877;12.85407;-0.91729;6.21029;0.7;-7.56;-3.01;1.00025;0;0;0;1;0.55273
1670690717080;9.9082;-0.45505;5.05828;7.49;-3.92;1.33;1.00023;0;0;0;1;0.42038
1670690717283;9.88904;-0.69456;4.28948;4.34;-19.38999;0;1.00022;0;0;0;1;0.55527
1670690717484;8.1766;-0.25627;3.17101;8.4;-20.15999;-3.99;1.00024;0;0;0;1;0.73905
1670690717684;7.49402;-0.20118;2.0214;3.36;-26.38999;-1.96;1.00023;0;0;0;1;0.81852
1670690717889;9.4723;-0.06227;1.10889;1.47;-14.21;2.73;1.00018;0;0;0;1;0.81461
1670690718092;9.90101;-0.19879;1.55197;0.98;-5.32;1.75;1.00017;0;0;0;1;0.29933
1670690718294;10.3848;-0.17244;1.78429;1.05;-2.8;1.12;1.00013;0;0;1;0;0.16294
1670690718496;10.10459;-0.26106;1.31966;0.98;-1.05;-2.38;1.00015;0;0;1;0;0.13004
1670690718697;10.18123;-0.21316;1.152;-1.89;4.55;-0.35;1.00013;0;0;1;0;0.10104
1670690718898;10.18362;-0.14849;1.53042;-5.95;8.89;-0.56;1.00012;0;0;1;0;0.0496
1670690719101;8.54304;-0.18921;2.11959;-2.87;14.83999;-2.31;1.00013;0;0;1;0;0.03393
1670690719302;8.23647;-0.13891;2.50998;-3.01;15.81999;-2.1;1.00012;0;0;1;0;0.05347
1670690719508;9.22322;0.06706;3.58774;-4.69;14.35;-1.54;1.0001;0;0;1;0;0.06527
1670690719709;10.0016;-0.34967;3.9446;-1.47;6.79;6.93;1.00011;0;0;1;0;0.08503
1670690719916;10.02795;-0.3377;3.85598;-0.63;6.3;2.87;1.00011;0;0;1;0;0.14131
1670690720119;10.03034;-0.69456;4.73495;-1.47;2.24;0.35;1.0001;0;0;1;0;0.15057
1670690720320;10.52372;-0.64666;5.40077;-4.76;-0.28;1.4;1.00013;0;0;1;0;0.2601
1670690720523;10.08543;-0.39278;4.45713;0.42;1.4;-2.03;1.00013;0;0;1;0;0.30477
1670690720723;8.54304;-0.35686;4.12901;1.68;5.39;0.42;1.00011;0;0;0;1;0.28324
1670690720925;11.03865;-0.68258;4.92177;-4.06;-5.25;1.4;1.0001;0;0;0;1;0.29529
1670690721128;10.81112;-0.53169;5.32173;2.31;0.56;0.63;1.00009;0;0;0;1;0.31862
1670690721332;10.24829;-0.39757;4.79483;6.16;-16.44999;-1.19;1.00008;0;0;0;1;0.34494
1670690721534;9.36453;-0.22753;3.26681;1.19;-18.40999;-2.38;1.0001;0;0;0;1;0.7465
1670690721733;7.83171;-0.34728;2.39981;-1.61;-9.59;-2.66;1.00009;0;0;0;1;0.64871
1670690721941;8.10235;-0.10299;2.37107;3.22;-25.61999;-3.57;1.00008;0;0;0;1;0.43656
1670690722141;10.21715;0.16047;1.46575;1.75;-12.32;0;1.00007;0;0;0;1;0.80316
1670690722343;10.31774;-0.01916;1.43701;-1.33;-4.83;2.59;1.00009;0;0;0;1;0.26788
1670690722560;10.28661;0.00719;1.55197;0.91;-4.06;0.56;1.0001;0;0;1;0;0.12362
1670690722763;10.1932;-0.20118;1.57113;-0.28;0.28;3.64;1.00009;0;0;1;0;0.13918
1670690722962;10.11896;-0.17484;1.6334;0.28;-2.87;1.68;1.00008;0;0;1;0;0.08981
1670690723164;10.32732;-0.01437;1.21428;-2.45;-6.44;-1.05;1.00007;0;0;1;0;0.12765
1670690723365;10.74885;-0.0503;0.88855;-3.43;6.58;-4.2;1.00007;0;0;1;0;0.12473
1670690723568;9.3789;-0.01437;1.55197;1.05;17.63999;5.53;1.00007;0;0;1;0;0.03041
1670690723766;8.2724;0.13173;2.58183;-1.82;17.14999;-1.33;1.00006;0;0;1;0;0.02881
1670690723968;9.54894;0.06467;2.56986;-2.52;17.91999;0.77;1.00003;0;0;1;0;0.06691
1670690724171;10.08543;-0.15328;3.74821;-0.84;19.73999;1.05;1.00003;0;0;1;0;0.03839
1670690724371;9.75731;-0.1437;4.35175;-1.96;14.55999;0.63;1.00004;0;0;1;0;0.04901
1670690724571;9.89143;-0.43589;4.91937;2.87;2.52;1.33;1.00004;0;0;1;0;0.10538
1670690724772;10.61952;-0.71372;5.14929;-1.26;-3.57;1.47;1.00006;0;0;1;0;0.34223
1670690724970;9.82677;-0.46942;4.67268;2.38;0.49;0.35;1.00008;0;0;0;1;0.37215
1670690725176;8.98611;-0.22034;4.58646;-0.35;-1.96;0.7;1.00009;0;0;0;1;0.35589
1670690725380;11.24941;-0.40236;4.99841;-1.75;-1.89;0.28;1.00008;0;0;0;1;0.44949
1670690725582;9.76689;-0.66821;4.35654;-3.92;-5.18;1.68;1.00008;0;0;0;1;0.28937
1670690725782;9.59924;-0.42631;4.73016;6.09;-17.00999;-0.84;1.00009;0;0;0;1;0.35459
1670690725983;8.73703;-0.19879;2.57465;7.35;-25.61999;0.91;1.00008;0;0;0;1;0.78709
1670690726186;8.12151;-0.34249;1.89925;3.92;-20.99999;0.07;1.00007;0;0;0;1;0.8074
1670690726390;9.60642;0.00958;1.13045;1.26;-10.71;-2.8;1.00006;0;0;0;1;0.66613
1670690726591;10.56922;-0.06706;1.48252;-8.26;0.63;-1.05;1.00003;0;0;0;1;0.24142
1670690726801;10.37762;-0.04551;1.3484;-1.89;0.63;2.31;1.00001;0;0;0;1;0.05472
1670690727006;10.04711;-0.14131;1.64777;3.57;-0.07;1.4;1.00002;0;0;0;1;0.07245
1670690727205;10.19081;-0.11496;1.60706;0.77;-0.84;1.47;1.00004;0;0;0;1;0.12294
1670690727408;10.03513;-0.15328;1.70286;1.19;2.45;0.21;1.00006;0;0;0;1;0.10902
1670690727608;10.07824;-0.30177;2.05014;0;0.28;3.29;1.00005;0;0;1;0;0.09319
1670690727809;10.19081;-0.21076;1.93757;2.24;-2.45;2.52;1.00005;0;0;1;0;0.11401
1670690728010;10.30577;-0.12933;1.4921;2.24;2.8;-1.75;1.00005;0;0;1;0;0.14773
1670690728212;10.07106;-0.2395;1.92081;-1.54;0.35;-3.15;1.00005;0;0;1;0;0.08122
1670690728416;10.12614;0.0024;1.7316;-4.41;5.74;-3.08;1.00004;0;0;1;0;0.10699
1670690728619;9.65672;0.10059;2.04535;-0.98;4.06;-2.31;1.00004;0;0;1;0;0.05704
1670690728823;9.25436;-0.47421;1.2023;-2.38;28.69999;-1.82;1.00003;0;0;1;0;0.10479
1670690729027;6.7324;-0.41913;2.72314;-7.7;13.92999;-2.8;1.00002;0;0;1;0;0.00757
1670690729227;9.38608;0.07425;3.95657;-6.3;25.05999;3.5;1.00004;0;0;1;0;0.10198
1670690729432;10.13572;-0.60115;4.90979;3.5;15.60999;1.47;1.00007;0;0;1;0;0.03404
1670690729632;10.01358;-0.05509;5.61153;-2.59;4.13;-1.61;1.00008;0;0;1;0;0.12579
1670690729847;10.45187;-0.87179;6.0091;-1.82;1.4;3.08;1.0001;0;0;0;1;0.34208
1670690730053;10.84944;-0.63947;5.95641;5.11;-9.24;-2.94;1.00012;0;0;0;1;0.35944
1670690730254;10.49019;0.06467;5.60914;9.03;-13.23;-5.67;1.00009;0;0;0;1;0.66601
1670690730454;10.04232;-0.41434;3.86317;8.4;-14.83999;6.3;1.00011;0;0;0;1;0.804
1670690730656;9.8603;-0.05269;3.61169;0.7;-20.78999;3.78;1.00009;0;0;0;1;0.64347
1670690730859;9.10826;-0.26824;2.95785;-3.92;-14.21;4.55;1.00007;0;0;0;1;0.68844
1670690731058;7.60179;-0.30656;2.28485;0.14;-18.61999;-9.03;1.00007;0;0;0;1;0.45926
1670690731259;9.64714;0.13173;1.36516;-0.42;-22.11999;-4.13;1.00006;0;0;0;1;0.67734
1670690731460;9.77647;-0.22274;1.45617;0;-6.02;6.65;1.00002;0;0;0;1;0.48675
1670690731670;10.30816;-0.39518;1.71483;-0.56;-0.84;0.84;1.00003;0;0;1;0;0.15741
1670690731875;10.0495;-0.2419;1.17835;0.28;1.26;-1.19;1.00004;0;0;1;0;0.0977
1670690732080;10.33451;-0.32093;1.41306;-2.31;4.97;2.1;1.00005;0;0;1;0;0.07681
1670690732278;9.2328;-0.39757;0.65863;2.17;0.21;-3.64;1.00004;0;0;1;0;0.04802
1670690732482;7.51797;-0.18921;2.00942;2.52;13.71999;-4.55;1.00003;0;0;1;0;0.0921
1670690732684;9.00767;0.01198;2.71116;-1.19;24.28999;-0.49;1.00004;0;0;1;0;0.10155
1670690732884;9.89383;-0.09101;4.00926;-3.99;16.09999;-1.68;1.00005;0;0;1;0;0.02998
1670690733086;9.61361;0.01198;4.2296;-2.24;7.42;-3.01;1.00008;0;0;1;0;0.07164
1670690733285;10.74645;-0.17484;5.0966;-4.55;12.25;4.48;1.00007;0;0;1;0;0.19088
1670690733491;10.66502;-0.31614;5.42951;-2.24;-1.96;2.17;1.00007;0;0;1;0;0.1112
1670690733691;10.10938;-0.36644;5.21396;-0.35;-0.56;1.61;1.00008;0;0;0;1;0.3776
1670690733895;11.28294;-0.40715;5.3361;1.89;-9.17;0.07;1.00011;0;0;0;1;0.38857
1670690734094;9.99921;-0.24429;3.87514;6.44;-16.09999;1.68;1.00011;0;0;0;1;0.52508
1670690734296;10.2435;-0.33291;3.82964;0.28;-13.79;1.96;1.00013;0;0;0;1;0.67066
